rank,Ticker,decision_date,current_price_date,start_price,end_price,current_price,month_to_date_return,momentum
1,ALAB,2026-09-01,2026-09-02,106.33000183105467,279.9100036621094,274.1300048828125,-0.02064948984915216,1.6324649566624858
2,MU,2026-09-01,2026-09-02,367.7934265136719,933.4400024414062,956.0800170898438,0.024254386558560492,1.5379463991227906
3,PANW,2026-09-01,2026-09-02,160.6699981689453,362.0899963378906,328.4800109863281,-0.09282218700181588,1.2536254463459393
4,SNDK,2026-09-01,2026-09-02,692.72998046875,1536.8699951171875,1553.4000244140625,0.010755645792677848,1.218570061132958
5,CRWD,2026-09-01,2026-09-02,98.32749938964844,215.07000732421875,203.4199981689453,-0.05416845100912193,1.1872823844726041
6,AMD,2026-09-01,2026-09-02,210.2100067138672,459.6099853515625,457.05999755859375,-0.005548155771720742,1.1864324754871092
7,FTNT,2026-09-01,2026-09-02,81.1500015258789,161.85000610351562,154.5399932861328,-0.04516535398032351,0.9944547512041797
8,MRVL,2026-09-01,2026-09-02,106.63030242919922,210.38999938964844,206.47999572753903,-0.018584550945636713,0.9730788959296441
9,NBIS,2026-09-01,2026-09-02,101.9499969482422,199.5399932861328,204.08999633789065,0.02280246168613087,0.9572339309380749
10,STX,2026-09-01,2026-09-02,422.8185119628906,816.6400146484375,808.5399780273438,-0.009918735888273633,0.9314197262964476
